"LkupReferenceID","FdReferenceName","FdCitationDescription"
"186","Brian, B. 2000.","Genetic variation of yellowtail (Seriola lalandi) from southern and Baja California, Mexico. Abstract, 80th Annual Meeting American Society of Ichthyologists and Herpetologists. June 14-20, 2000 La Paz, B.C.S., Mexico. p 93."
"187","Broadhead, G.C. 1958.","Growth of the black mullet (Mugil cephalus L.) in west and northwest Florida. State of Florida Board of Conservation Technical Series 25, 31 p."
"188","Brodeur, R.D. and W.G. Pearcy. 1984.","Food habits and dietary overlap of some shelf rockfishes (Genus Sebastes) from the northeastern Pacific Ocean. Fishery Bulletin 82(2):269-293."
"189","Brodeur, R.D., H.V. Lorz, and W.G. Pearcy. 1987.","Food habits and dietary variability of pelagic nekton off Oregon and Washington, 1979-1984. NOAA Technical Report, NMFS Circular 57, 32 p."
"191","Brooks, A.J., R.J. Schmitt, and S.J. Holbrook. 2000.","Population trends and trophic models - the use of long-term datasets. Abstract, 80th Annual Meeting American Society of Ichthyologists and Herpetologists. June 14-20, 2000 La Paz, B.C.S., Mexico. p 96."
"192","Brownell, C.L. 1979.","Stages in the early development of 40 marine fish species with pelagic eggs from the Cape of Good Hope. Ichthyological Bulletin of the J.L.B. Smith Institute of Ichthyology Rhodes University, Grahamstown 40, 84 p."
"193","Bryant, M. 1978.","Ecological studies of the striped perch Embiotoca lateralis and the kelp greenling Hexagrammus decagrammus in Carmel Bay, California. M.A. Thesis, California State University Fresno. 77 p."
"194","Buckley, R.M. and G.J. Hueckel. 1985.","Biological processes and ecological development on an artificial reef in Puget Sound, Washington. Bulletin of Marine Science 37(1):50-69."
"197","Buckley, R. and G. Hueckel. 1984a.","Early life history studies. In: R. Buckley, G. Hueckel, B. Benson, S. Quinnell, and M. Canfield (Staff), Enhancement Research on lingcod (Ophiodon elongatus) in Puget Sound, p 33-45. State of Washington, Department of Fisheries, Progress Report No. 216."
"198","Buckley, R. and G. Hueckel. 1984b.","Project discussion and recommendation. In: R. Buckley, G. Hueckel, B. Benson, S. Quinnell, and M. Canfield (Staff), Enhancement Research on lingcod (Ophiodon elongatus) in Puget Sound, p 76-79. State of Washington, Department of Fisheries, Progress Report No. 216."
"200","Budd, P.L. 1940.","Development of the eggs and early larvae of six California Fishes. California Department of Fish and Game, Fish Bulletin 56, 49 p."
"201","Butler, J.L., C. Kastelle, K. Rubin, D. Kline, H. Heijnis, L. Jacobson, A. Andrews, and W.W. Wakefield. 1995.","Age determination of shortspine thornyhead Sebastolobus alascanus, using otolith sections and 210Pb:226Ra ratios. National Marine Fisheries Service. Southwest Fisheries Science Center, Administrative Report No. LJ-95-12. 22 p."
"203","Burge, R.T. and S.A. Schultz. 1973.","The marine environment in the vicinity of Diablo Cove with special reference to abalones and bony fishes. California Department of Fish And Game, Marine Research Technical Report No. 19, 433 p."
"205","Burns, T.A. 1988.","Ichthyootoxic fish. In: A.T. Tu (Editor), Marine toxins and venoms, Handbook of natural toxins, volume 3, p 227-239. Marcel Dekker, New York."
"206","Burreson, E.M. 1979.","Structure and life cycle of Trypanoplasma beckeri sp. n. (Kinetoplastida) a parasite of the cabezon, Scorpaenichthys marmoratus, in Oregon coastal waters. The Journal of Protozoology 26(3):343-347."
"207","Butler, J.L., H.G. Moser, G.S. Hageman, and L.E. Nordgren. 1982.","Development stages of three California sea basses (Paralabrax, Pisces, Serranidae). California Cooperative Oceanic Fisheries Investigations Reports 23:252-268."
"210","Bykhovskii, B.E. 1957.","Monogeneticheskie sosal'shchiki, ikh sistema i filogeniya (System and Phylogeny of Monogenetic Trematodes). Izd. AN SSSR. 509 p. In Russian."
"211","California Department of Fish and Game (CDFG). 1982.","California Fish and Wildlife Plan. Volume II-Species Plans, Part C-Living Marine Resources. Preliminary Draft. June 1982. California Department of Fish and Game, 1416 Ninth Street, Sacramento, California, 95814."
"212","California Department of Fish and Game (CDFG). 1995.","Report to the California legislature on the northern and central California nearshore commercial hook-and-line fishery. California Department of Fish and Game. 48 p."
"214","Caddell, S.M., D.M. Gadomski, and L.R. Abbott. 1990.","Induced spawning of the California halibut, Paralichthys californicus, under artificial and natural conditions. California Department of Fish and Game, Fish Bulletin 174:175-197."
"215","Cailliet, G.M., K.A. Karpov, and D.A. Ambrose. 1979.","Pelagic assemblages as determined from purse seine and large midwater trawl catches in Monterey Bay and their affinities with the market squid, Loligo opalescens. California Cooperative Oceanic Fisheries Investigations Reports 20:21-30."
"217","Campana, S.E. 1983.","Feeding periodicity and the production of daily growth increments in otoliths of steelhead trout (Salmo gairdneri) and starry flounder (Platichthys stellatus). Canadian Journal of Zoology 61:1591-1597."
"218","Campana, S.E. 1984a.","Comparison of age determination methods for the starry flounder. Transactions of the American Fishery Society 113:365-369."
"219","Campana, S.E. 1984b.","Interactive effects of age and environmental modifiers on the production of daily growth increments in otoliths of plainfin midshipman, Porichthys notatus. Fishery Bulletin 82(1):165-177."
"220","Campana, S.E. 1984c.","Lunar cycles of otolith growth in the juvenile starry flounder Platichthys stellatus. Marine Biology 80:239-246."
"221","Campana, S.E. 1984d.","Microstructural growth patterns in the otoliths of larval and juvenile starry flounder, Platichthys stellatus. Canadian Journal of Zoology 62:1507-1512."
"222","Campana, S.E. and J.D. Neilson. 1982.","Daily growth increments in otoliths of starry flounder (Platichthys stellatus) and the influence of some environmental variables in their production. Canadian Journal of Fisheries and Aquatic Sciences 39(7):937-942."
"223","Canfield, M. and R. Buckley. 1984.","Spawning ground surveys. In: R. Buckley, G. Hueckel, B. Benson, S. Quinnell, and M. Canfield (Staff), Enhancement Research on lingcod (Ophiodon elongatus) in Puget Sound, p 4-20. State of Washington, Department of Fisheries, Progress Report No. 216."
"224","Canning, E.U. and A.C. Olson. 1980.","Nosema lepocreadii sp.N., a parasite of Lepocreadium manteri (Digenea: Lepocreadiidae) from the gut of the California grunion, Leuresthes tenuis. Journal of Parasitology 66(1):154-159."
"225","Carey, F.G. and E. Clark. 1995.","Depth telemetry from the sixgill shark, Hexanchus griseus, at Bermuda. Environmental Biology of Fishes 42:7-14."
"226","Carlisle, J.G., Jr. 1960a.","Barred Surfperch. In: California Ocean Fisheries Resources, p 61-62. California Department of Fish and Game. 79 p."
"227","Carlisle, J.G., Jr. 1960b.","California corbina. In: California ocean fisheries resources to the year 1960, p 28. California Department of Fish and Game. 79 p."
"228","Carlisle, J.G., Jr. 1960c.","Spotfin croaker. In: California ocean fisheries resources to the year 1960, p 28-29. California Department of Fish and Game. 79 p."
"229","Carlisle, J.G., Jr. 1960d.","Surfperches, family Embiotocidae: Southern California. In: California ocean fisheries resources to the year 1960, p 60-61. California Department of Fish and Game. 79 p."
"230","Carlisle, J.G., Jr., C.H. Turner, and E.E. Ebert. 1964.","Artificial habitat in the marine environment. California Department of Fish and Game, Fish Bulletin 124, 93 p."
"232","Carlsile, J.G., Jr., J.W. Scott, and N.J. Abramson. 1960.","The barred surfperch (Amphisticus argenteus Agassiz) in southern California. California Department of Fish and Game, Fish Bulletin 109, 79 p."
"235","Carlson, H.R. and R.R. Straty. 1981.","Habitat and nursery grounds of Pacific rockfish, Sebastes spp., in rocky coastal areas of southeastern Alaska. Marine Fisheries Review 43(7):13-19."
"236","Carpelan, L.H. 1955.","Tolerance of the San Francisco topsmelt, Atherinops affinis affinis, to conditions in salt-producing ponds bordering San Francisco Bay. California Department of Fish and Game 41(4):279-284."
"237","Carr, M. and B. Rhodes. 1974","The feeding habits of Sebastes chrysomelas and Sebastes atrovirens and density determination of the major fish species of Hopkins Marine Station Pacific Grove, California. Unpublished manuscript."
"238","Carr, M.H. 1983.","Spatial and temporal patterns of recruitment of young-of-the-year rockfishes (Genus Sebastes) into a central California kelp forest. M.A. Thesis, San Francisco State University. 104 p."
"240","Carr, M.H. 1989.","Effects of macroalgal assemblages on the recruitment of temperate zone reef fishes. Journal of Experimental Marine Biology and Ecology 126:59-76."
"241","Carr, M.H. 1991b.","Patterns, mechanisms, and consequences of recruitment of a temperate marine reef fish. Ph.D. Thesis, University of Californa, Santa Barbara. 190 p."
"242","Carr 1994","Author was cited in Cailliet et al. 2000 but the full citation was missing."
"244","Casillas, E., L. Crockett, Y. deReynier, J. Glock, M. Helvey, B. Meyer, C. Schmitt, M. Yoklavich, A. Bailey, B. Chao, B. Johnson, and T. Pepperell. 1998.","Essential Fish Habitat West Coast Groundfish Appendix, National Marine Fisheries Service, Seattle, Washington. Located at website http://www.nwr.noaa.gov/1sustfsh/efhappendix/page1.html"
"246","Cass, A.J. and R.J. Beamish. 1983.","First evidence of validity of the fin-ray method of age determination for marine fishes. North American Journal of Fisheries Management 3:182-188."
"247","Cass, A.J. and J.R. Scarsbrook. 1984.","A preliminary study of variability in year-class abundance of post-larval and juvenile lingcod in the Strait of Georgia during 1980-82. Canadian Manuscript Report of Fisheries and Aquatic Sciences, No. 1755, 27 p."
"248","Cass. A.J., L.J. Richards, and J.T. Schnute. 1988.","A summary of fishery and biological data for lingcod off the southwest coast of Vancouver Island. Canadian Technical Report of Fisheries and Aquatic Sciences No. 1618, 33 p."
"249","Cass, A.J., R.J. Beamish, and G.A. McFarlane. 1990.","Lingcod (Ophiodon elongatus). Canadian Special Publication of Fisheries and Aquatic Sciences No. 109, 40 p."
"250","Cass, A.J., R.J. Beamish, and M.S. Smith. 1984.","Study of the biology of lingcod off the west coast of Vancouver Island, M/V Arctic Harvester, November 22-December 2, 1977. Canadian Data Report of Fisheries and Aquatic Sciences No. 461, 73 p."
"251","Cass, A.J., E. Cameron, and I. Barber. 1983.","Lingcod tagging study off Southwest Vancouver Island, M/V Pacific Eagle - July 14-27, 1982. Canadian Data Report of Fisheries and Aquatic Sciences No. 406, 84 p."
"252","Cass, A.J., G.A. McFarlane, K. Rutherford, and I. Barber. 1984.","Lingcod tagging study in the Strait of Georgia, November 1982 - March 1983. Canadian Manuscript Report of Fisheries and Aquatic Sciences No. 1791, 49 p."
"253","Cass, A.J., G.A. McFarlane, M.S. Smith, I. Barber, and K. Rutherford. 1986.","Lingcod tagging study in the Strait of Georgia, 1983-84. Canadian Manuscript Report of Fisheries and Aquatic Sciences No. 1875, 49 p."
"254","Cass, A.J., J.R. Selsby, and L.J. Richards. 1986.","Lingcod maturity cruise off southwest Vancouver Island and in Queen Charlotte Sound, R/V G.B. Reed, August 20 - September 5, 1985. Canadian Data Report of Fisheries and Aquatic Sciences No. 594, 78 p."
"255","Cass, A.J., M.S. Smith, I. Barber, and K. Rinhofer. 1983.","A summary of lingcod tagging studies conducted in 1978 by the Pacific Biological Station. Canadian Data Report of Fisheries and Aquatic Sciences, No. 417, 283 p."
"256","Cassano, V.P.F. 1998.","The phylogeny of the Embiotocidae (Teleostei: Perciformes): Cladistic analyses of comparative morphometry and 16s rDNA mitochondrial sequences. Ph.D. Thesis, University of California, Los Angeles. 183 p."
"257","Castillo, G.C. 1995.","Latitudinal patterns in reproductive life history traits of northeast Pacific flatfish. In: Proceedings of the International Symposium on North Pacific Flatfish, p 51-72. Alaska Sea Grant College Program, Fairbanks, Alaska."
"258","Castillo, G.C., H.W. Li, and J.T. Golden. 1993.","Environmental induced recruitment variation in petrale sole, Eopsetta jordani. Fisheries Bulletin 92:481-493."
"259","Castillo, G.C., J.T. Golden, and H.W. Li. 1995.","Variations in relative abundance and year-class strength of petrale sole off Oregon and Washington. In: Proceedings of the International Symposium on North Pacific Flatfish, p 321-341. Alaska Sea Grant College Program, Fairbanks, Alaska."
"260","Castle, W.T. and L.A. Woods Jr. 1972.","DDT residuals in white croakers. California Department of Fish and Game 58(3):198-203."
"261","Castro, J.I. 1996.","The Sharks of North American Waters. Texas A & M University Press, College Station. 180 p."
"268","Chadwick, E.M. 1976.","A comparison of growth and abundance for tidal pool fishes in California and British Columbia. Journal of Fish Biology 8:27-34."
